id;name;description;company_name;gender;course;semester;department;total_rating
1;Executive;Home open-source;bi-directional Computer Kip;DIVERS;redundant Dynamic Granite;ability Avon;input;1091
2;Planner Handmade Borders;Handmade Refined calculate;Rubber;DIVERS;functionalities;visualize circuit Forest;Internal;790
3;Plastic Niedersachsen;calculate purple;Borders generating connecting;MALE;e-tailers circuit;Creative bandwidth;line communities Account;8854
4;white;Synergistic Synchronised Rheinland-Pfalz;Gorgeous synthesize interfaces;MALE;Avon;Data;Unbranded synergistic Keyboard;74530
5;Facilitator Bayern Identity;multimedia Ball deposit;Handcrafted;MALE;generation online Credit;copying;bypassing Frozen;67161
6;Division grey Ergonomic;Slowenien edge efficient;port;DIVERS;synergies;Group payment;Account Expressway;58926
7;encompassing SAS action-items;encompassing Litauen Avon;Ergonomic hacking;FEMALE;Fords;Australian Beauty THX;compressing wireless Data;17095
8;Haven Hamburg optimize;groupware;Factors infomediaries synergize;MALE;orchid;Forint Practical;Ball USB Grocery;44468
9;architecture microchip revolutionize;context-sensitive;deploy;DIVERS;Gloves azure Path;Books Steel product;salmon;83468
10;Avon;neural 1080p;Saarland;MALE;parsing;transmitting compress Tasty;infrastructure;11541
